design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error,final_wns_slow,final_tns_slow,final_area_um2
aes_round,crypto,aes_round,delay_choice_deep_v3@booth,0,9563,57296.20,1.397,0.000,4991.75,2.7,ok,,,,
aes_round,crypto,aes_round,orfs_area@booth+adder=kogge-stone,0,11830,67468.46,1.808,0.000,4421.78,2.6,ok,,,,
aes_round,crypto,aes_round,delay_syn2@booth,0,11136,61712.94,1.639,0.000,4677.07,2.9,ok,,,,
aes_round,crypto,aes_round,delay_map@booth,0,14620,70951.80,1.704,0.000,4818.63,3.2,ok,,,,
aes_round,crypto,aes_round,delay_choice_deep_v3@booth+adder=kogge-stone,0,9563,57296.20,1.397,0.000,4991.75,2.6,ok,,,,
aes_round,crypto,aes_round,delay_syn2@booth+adder=kogge-stone,0,11136,61712.94,1.639,0.000,4677.07,2.7,ok,,,,
aes_round,crypto,aes_round,delay_map@booth+adder=kogge-stone,0,14620,70951.80,1.704,0.000,4818.63,3.2,ok,,,,
aes_round,crypto,aes_round,delay_map_resyn@booth,0,14203,69183.85,1.777,0.000,4737.78,3.6,ok,,,,
aes_round,crypto,aes_round,delay_map_resyn@booth+adder=kogge-stone,0,14203,69183.85,1.777,0.000,4737.78,3.5,ok,,,,
sha256_core,crypto,sha256_core,delay_choice_deep_v3,0,8930,68291.75,-0.484,-1.484,11768.57,1.7,ok,,,,
sha256_core,crypto,sha256_core,delay_syn2,0,9121,68393.09,-1.482,-6.428,12575.78,1.7,ok,,,,
sha256_core,crypto,sha256_core,delay_choice_deep_v3@adder=han-carlson,0,9033,69103.78,-0.182,-0.359,11582.30,1.8,ok,,,,
sha256_core,crypto,sha256_core,delay_map,0,11714,75924.07,1.399,0.000,10370.97,1.9,ok,,,,
sha256_core,crypto,sha256_core,delay_syn2@adder=han-carlson,0,9432,70771.63,0.100,0.000,11051.17,1.9,ok,,,,
sha256_core,crypto,sha256_core,orfs_area,0,9579,74512.71,-0.634,-2.455,11972.23,2.0,ok,,,,
sha256_core,crypto,sha256_core,delay_choice_deep_v3@adder=kogge-stone,0,9516,72031.58,0.176,0.000,11137.19,2.1,ok,,,,
sha256_core,crypto,sha256_core,orfs_area@adder=sklansky,0,9768,75985.38,-0.187,-0.490,11422.68,2.1,ok,,,,
sha256_core,crypto,sha256_core,delay_syn2@adder=kogge-stone,0,9906,72995.01,0.455,0.000,10798.45,2.2,ok,,,,
sha256_core,crypto,sha256_core,delay_map@adder=han-carlson,0,12746,80843.79,1.676,0.000,10146.30,2.2,ok,,,,
sha256_core,crypto,sha256_core,delay_map@adder=sklansky,0,12863,81469.39,1.858,0.000,9919.40,2.2,ok,,,,
sha256_core,crypto,sha256_core,orfs_area@adder=han-carlson,0,9884,76912.52,-0.362,-0.756,11645.01,2.3,ok,,,,
sha256_core,crypto,sha256_core,orfs_area@adder=kogge-stone,0,10151,77595.67,0.378,0.000,10995.33,2.5,ok,,,,
sha256_core,crypto,sha256_core,delay_map_resyn,0,10601,71335.92,0.368,0.000,11224.52,2.6,ok,,,,
sha256_core,crypto,sha256_core,delay_map_resyn@adder=sklansky,0,11286,73628.12,1.318,0.000,10501.29,2.7,ok,,,,
sha256_core,crypto,sha256_core,delay_map@adder=kogge-stone,0,14117,87796.70,2.047,0.000,9765.94,2.8,ok,,,,
sha256_core,crypto,sha256_core,delay_map_resyn@adder=han-carlson,0,11311,73317.82,1.298,0.000,10440.27,2.8,ok,,,,
sha256_core,crypto,sha256_core,delay_map_resyn@adder=kogge-stone,0,12171,78435.23,2.218,0.000,9598.88,3.0,ok,,,,
sha256_core,crypto,sha256_core,delay_syn2@adder=sklansky,0,9318,70054.69,-0.620,-2.342,11852.40,1.8,ok,,,,
sha256_core,crypto,sha256_core,delay_choice_deep_v3@adder=sklansky,1,9162,70109.74,0.025,0.000,11340.86,1.8,ok,,-0.000,-0.000,70109.74
sha256_core,crypto,sha256_core,delay_choice_deep_v3@booth,0,8930,68291.75,-0.484,-1.484,11768.57,1.6,ok,,,,
sha256_core,crypto,sha256_core,delay_syn2@booth,0,9121,68393.09,-1.482,-6.428,12575.78,1.6,ok,,,,
sha256_core,crypto,sha256_core,delay_map@booth,0,11714,75924.07,1.399,0.000,10370.97,1.9,ok,,,,
sha256_core,crypto,sha256_core,orfs_area@booth,0,9579,74512.71,-0.634,-2.455,11972.23,1.9,ok,,,,
sha256_core,crypto,sha256_core,delay_choice_deep_v3@booth+adder=kogge-stone,0,9516,72031.58,0.176,0.000,11137.19,2.0,ok,,,,
sha256_core,crypto,sha256_core,delay_map_resyn@booth,0,10601,71335.92,0.368,0.000,11224.52,2.4,ok,,,,
sha256_core,crypto,sha256_core,delay_syn2@booth+adder=kogge-stone,0,9906,72995.01,0.455,0.000,10798.45,1.9,ok,,,,
sha256_core,crypto,sha256_core,orfs_area@booth+adder=kogge-stone,0,10151,77595.67,0.378,0.000,10995.33,2.3,ok,,,,
sha256_core,crypto,sha256_core,delay_map@booth+adder=kogge-stone,0,14117,87796.70,2.047,0.000,9765.94,2.4,ok,,,,
sha256_core,crypto,sha256_core,delay_map_resyn@booth+adder=kogge-stone,0,12171,78435.23,2.218,0.000,9598.88,2.7,ok,,,,
crc32_8,logic,crc32_8,orfs_area,0,230,2273.43,-0.228,-0.228,2941.15,0.1,ok,,,,
crc32_8,logic,crc32_8,delay_syn2,0,213,2128.29,-0.567,-2.124,3425.31,0.1,ok,,,,
crc32_8,logic,crc32_8,orfs_area@adder=kogge-stone,0,230,2273.43,-0.228,-0.228,2941.15,0.1,ok,,,,
crc32_8,logic,crc32_8,delay_syn2@adder=kogge-stone,0,213,2128.29,-0.567,-2.124,3425.31,0.1,ok,,,,
crc32_8,logic,crc32_8,orfs_area@adder=han-carlson,0,230,2273.43,-0.228,-0.228,2941.15,0.1,ok,,,,
